代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000762.SZ,西藏矿业,2010-03-17,14.11,14.39,5985474138.0,黑色金属矿采选业,0.2731133071761052
000923.SZ,河钢资源,2010-03-17,10.27,10.68,2132460000.0,黑色金属矿采选业,0.09730276826747145
600532.SH,未来股份,2010-03-17,9.55,9.68,1492101000.0,黑色金属矿采选业,0.0680836019595502
000655.SZ,金岭矿业,2010-03-18,20.0,20.22,12442610807.0,黑色金属矿采选业,0.5597214989337953
000762.SZ,西藏矿业,2010-03-18,14.53,14.61,6079212562.0,黑色金属矿采选业,0.27346880974734955
000923.SZ,河钢资源,2010-03-18,10.62,11.1,2217600000.0,黑色金属矿采选业,0.09975706990186377
600532.SH,未来股份,2010-03-18,9.68,9.67,1490580000.0,黑色金属矿采选业,0.06705262141699138
000655.SZ,金岭矿业,2010-03-19,20.23,20.5,12615259474.0,黑色金属矿采选业,0.5573014828551949
000762.SZ,西藏矿业,2010-03-19,14.69,14.89,6195007088.0,黑色金属矿采选业,0.2736754359715235
000923.SZ,河钢资源,2010-03-19,11.02,11.68,2332440000.0,黑色金属矿采选业,0.1030396777291662
600532.SH,未来股份,2010-03-19,9.66,9.69,1493622000.0,黑色金属矿采选业,0.06598340344411546
000655.SZ,金岭矿业,2010-03-22,20.51,20.25,12466424416.0,黑色金属矿采选业,0.5557907757312317
000762.SZ,西藏矿业,2010-03-22,14.9,14.7,6115053725.0,黑色金属矿采选业,0.2726275265499438
000923.SZ,河钢资源,2010-03-22,11.5,11.74,2344320000.0,黑色金属矿采选业,0.10451685165555341
600532.SH,未来股份,2010-03-22,9.73,9.76,1504269000.0,黑色金属矿采选业,0.06706484606327108
000655.SZ,金岭矿业,2010-03-23,20.33,20.05,12341402968.0,黑色金属矿采选业,0.5536629302909813
000762.SZ,西藏矿业,2010-03-23,14.68,14.77,6145380862.0,黑色金属矿采选业,0.27569552543023623
000923.SZ,河钢资源,2010-03-23,11.73,11.59,2314620000.0,黑色金属矿采选业,0.10383902827198496
600532.SH,未来股份,2010-03-23,9.77,9.66,1489059000.0,黑色金属矿采选业,0.06680251600679751
000655.SZ,金岭矿业,2010-03-24,20.12,20.22,12442610807.0,黑色金属矿采选业,0.5549797401203624
000762.SZ,西藏矿业,2010-03-24,14.81,14.95,6217063188.0,黑色金属矿采选业,0.2773006538504771
000923.SZ,河钢资源,2010-03-24,11.72,11.34,2265120000.0,黑色金属矿采选业,0.10103150604326665
600532.SH,未来股份,2010-03-24,9.66,9.7,1495143000.0,黑色金属矿采选业,0.06668809998589383
000655.SZ,金岭矿业,2010-03-25,20.07,20.27,12478331221.0,黑色金属矿采选业,0.5597074860962663
000762.SZ,西藏矿业,2010-03-25,14.91,14.58,6062670488.0,黑色金属矿采选业,0.2719371683416949
000923.SZ,河钢资源,2010-03-25,11.24,11.19,2235420000.0,黑色金属矿采选业,0.10026832005097612
600532.SH,未来股份,2010-03-25,9.72,9.85,1517958000.0,黑色金属矿采选业,0.06808702551106263
000655.SZ,金岭矿业,2010-03-26,20.51,20.12,12383076784.0,黑色金属矿采选业,0.5569587462422197
000762.SZ,西藏矿业,2010-03-26,14.52,14.64,6090240612.0,黑色金属矿采选业,0.2739232611361775
000923.SZ,河钢资源,2010-03-26,11.15,11.17,2231460000.0,黑色金属矿采选业,0.1003652957636109
600532.SH,未来股份,2010-03-26,9.77,9.92,1528605000.0,黑色金属矿采选业,0.06875269685799183
000655.SZ,金岭矿业,2010-03-29,20.59,20.71,12746234324.0,黑色金属矿采选业,0.5605158239720414
000762.SZ,西藏矿业,2010-03-29,14.65,14.89,6195007088.0,黑色金属矿采选业,0.2724255191123189
