代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
600759.SH,洲际油气,2010-02-08,5.24,5.98,9817253648.0,石油和天然气开采业,0.002965491880880089
600777.SH,新潮能源,2010-02-08,1.6,1.61,3833844700.0,石油和天然气开采业,0.001158087153296822
601857.SH,中国石油,2010-02-08,9.53,9.51,2324366418289.0,石油和天然气开采业,0.7021199603038272
000968.SZ,蓝焰控股,2010-02-09,17.34,17.53,9247446000.0,石油和天然气开采业,0.0027812156291652504
600028.SH,中国石化,2010-02-09,4.94,4.97,942455511930.0,石油和天然气开采业,0.2834482082482724
600256.SH,广汇能源,2010-02-09,4.34,4.28,25064678505.0,石油和天然气开采业,0.0075383274039241
600759.SH,洲际油气,2010-02-09,5.73,5.47,8972556871.0,石油和天然气开采业,0.002698541348951836
600777.SH,新潮能源,2010-02-09,1.61,1.63,3877624330.0,石油和天然气开采业,0.0011662149084868873
601857.SH,中国石油,2010-02-09,9.51,9.56,2335347676958.0,石油和天然气开采业,0.7023674924611996
000968.SZ,蓝焰控股,2010-02-10,17.79,17.73,9350195400.0,石油和天然气开采业,0.002787715409553941
600028.SH,中国石化,2010-02-10,5.0,5.04,956327902170.0,石油和天然气开采业,0.2851245257896645
600256.SH,广汇能源,2010-02-10,4.3,4.4,25741072337.0,石油和天然气开采业,0.007674575871676177
600759.SH,洲际油气,2010-02-10,5.4,5.35,8784846477.0,石油和天然气开采业,0.0026191593701345053
600777.SH,新潮能源,2010-02-10,1.64,1.63,3877624330.0,石油和天然气开采业,0.0011560948873006736
601857.SH,中国石油,2010-02-10,9.59,9.61,2349989355183.0,石油和天然气开采业,0.7006379286716702
000968.SZ,蓝焰控股,2010-02-11,17.75,17.65,9309095640.0,石油和天然气开采业,0.0027676233420777215
600028.SH,中国石化,2010-02-11,5.04,5.07,960663024120.0,石油和天然气开采业,0.28560813125618345
600256.SH,广汇能源,2010-02-11,4.44,4.36,25483852147.0,石油和天然气开采业,0.007576429201676422
600759.SH,洲际油气,2010-02-11,5.37,5.36,8794231996.0,石油和天然气开采业,0.002614552765275527
600777.SH,新潮能源,2010-02-11,1.63,1.61,3840098933.0,石油和天然气开采业,0.0011416734615113003
601857.SH,中国石油,2010-02-11,9.62,9.64,2355479984518.0,石油和天然气开采业,0.7002915899732756
000968.SZ,蓝焰控股,2010-02-12,17.74,17.89,9432394920.0,石油和天然气开采业,0.0027702276058391884
600028.SH,中国石化,2010-02-12,5.09,5.14,975402438750.0,石油和天然气开采业,0.286468790327973
600256.SH,广汇能源,2010-02-12,4.44,4.4,25741072337.0,石油和天然气开采业,0.007559970696377593
600759.SH,洲际油气,2010-02-12,5.32,5.71,9366748701.0,石油和天然气开采业,0.0027509477760997475
600777.SH,新潮能源,2010-02-12,1.63,1.62,3871370097.0,石油和天然气开采业,0.0011369939878566636
601857.SH,中国石油,2010-02-12,9.67,9.74,2381102921412.0,石油和天然气开采业,0.6993130696058538
000968.SZ,蓝焰控股,2010-02-22,17.88,17.83,9401570100.0,石油和天然气开采业,0.0027829198573750143
600028.SH,中国石化,2010-02-22,5.15,5.09,964998146070.0,石油和天然气开采业,0.2856451076217873
600256.SH,广汇能源,2010-02-22,4.44,4.49,26245986043.0,石油和天然气开采业,0.0077689657108924995
600759.SH,洲际油气,2010-02-22,5.64,5.55,9113339668.0,石油和天然气开采业,0.0026976019600258704
600777.SH,新潮能源,2010-02-22,1.62,1.65,3921403959.0,石油和天然气开采业,0.0011607585573701242
601857.SH,中国石油,2010-02-22,9.77,9.67,2364631033409.0,石油和天然气开采业,0.6999446462925492
000968.SZ,蓝焰控股,2010-02-23,17.79,17.19,9067634550.0,石油和天然气开采业,0.0027056335129574272
600028.SH,中国石化,2010-02-23,5.07,5.02,951992780220.0,石油和天然气开采业,0.28405904054180775
600256.SH,广汇能源,2010-02-23,4.48,4.62,27055753308.0,石油和天然气开采业,0.008072993288909463
600759.SH,洲际油气,2010-02-23,5.49,5.69,9338592141.0,石油和天然气开采业,0.0027864828165720962
600777.SH,新潮能源,2010-02-23,1.64,1.66,3946420890.0,石油和天然气开采业,0.001177547303802542
601857.SH,中国石油,2010-02-23,9.67,9.61,2349989355183.0,石油和天然气开采业,0.7011983025359507
000968.SZ,蓝焰控股,2010-02-24,16.95,17.58,9273133350.0,石油和天然气开采业,0.002736897834443372
600028.SH,中国石化,2010-02-24,4.98,5.1,966732194850.0,石油和天然气开采业,0.28532397310685204
600256.SH,广汇能源,2010-02-24,4.66,4.66,27246286782.0,石油和天然气开采业,0.008041543292405999
600759.SH,洲际油气,2010-02-24,5.66,5.48,8991327911.0,石油和天然气开采业,0.0026537250096145925
600777.SH,新潮能源,2010-02-24,1.63,1.68,3996454753.0,石油和天然气开采业,0.001179524541069672
601857.SH,中国石油,2010-02-24,9.57,9.7,2371951872521.0,石油和天然气开采业,0.7000643362156144
000968.SZ,蓝焰控股,2010-02-25,17.6,17.95,9468357210.0,石油和天然气开采业,0.002769372638129826
600028.SH,中国石化,2010-02-25,5.1,5.17,979737560700.0,石油和天然气开采业,0.2865606285201231
